exportVersion,rowType,curriculumId,curriculumName,courseCode,courseName,lectureHours,laboratoryHours,units,yearLevel,semester,isElective,minYearStandingRequired,relatedCourseCode,trackName,notes
1,prerequisite,,BSARCH Curriculum 2023,AR 322,Building Technology 4,,,3,,,false,,AR 321,,
1,prerequisite,,BSARCH Curriculum 2023,AR 324,Building Utilities 3,,,3,,,false,,AR 226,,
1,prerequisite,,BSARCH Curriculum 2023,AR 351,Planning 1,,,3,,,false,,AR 203,,
1,prerequisite,,BSARCH Curriculum 2023,AR 351,Planning 1,,,3,,,false,,SURV 002F1,,
1,prerequisite,,BSARCH Curriculum 2023,CADD 332,Computer-Aided Design and Drafting for Architecture 2,,,2,,,false,,CADD 331,,
1,prerequisite,,BSARCH Curriculum 2023,AR 312,Field Trips and Seminars for Architecture,,,2,,,false,,AR 212,,
1,prerequisite,,BSARCH Curriculum 2023,AR 312,Field Trips and Seminars for Architecture,,,2,,,false,,AR 221,,
1,prerequisite,,BSARCH Curriculum 2023,ARSC 323,Theory of Structures,,,3,,,false,,ARSC 313,,
1,prerequisite,,BSARCH Curriculum 2023,AR 401,Architectural Design 7,,,5,,,false,,AR 302,,
1,prerequisite,,BSARCH Curriculum 2023,AR 401,Architectural Design 7,,,5,,,false,,AR 322,,
1,prerequisite,,BSARCH Curriculum 2023,AR 401,Architectural Design 7,,,5,,,false,,AR 351,,
1,prerequisite,,BSARCH Curriculum 2023,AR 441,Professional Practice 2,,,3,,,false,,AR 341,,
1,prerequisite,,BSARCH Curriculum 2023,AR 451,Planning 2,,,3,,,false,,AR 351,,
1,prerequisite,,BSARCH Curriculum 2023,AR 491,Research Methods for Architecture,,,3,,,false,,AR 202,,
1,prerequisite,,BSARCH Curriculum 2023,AR 421,Building Technology 5,,,3,,,false,,AR 321,,
1,prerequisite,,BSARCH Curriculum 2023,ARSC 433,Steel and Timber Design,,,3,,,false,,ARSC 323,,
1,prerequisite,,BSARCH Curriculum 2023,AR 402,Architectural Design 8,,,5,,,false,,AR 401,,
1,prerequisite,,BSARCH Curriculum 2023,AR 402,Architectural Design 8,,,5,,,false,,AR 451,,
1,prerequisite,,BSARCH Curriculum 2023,AR 402,Architectural Design 8,,,5,,,false,,ARSC 323,,
1,prerequisite,,BSARCH Curriculum 2023,AR 442,Professional Practice 3,,,3,,,false,,AR 441,,
1,prerequisite,,BSARCH Curriculum 2023,AR 452,Planning 3,,,3,,,false,,AR 451,,
1,prerequisite,,BSARCH Curriculum 2023,AR 492,Specialization 1,,,3,,,false,,AR 401,,
1,prerequisite,,BSARCH Curriculum 2023,AR 495,Integration Course for Architecture 1,,,3,,,false,,AR 401,,
1,prerequisite,,BSARCH Curriculum 2023,AR 495,Integration Course for Architecture 1,,,3,,,false,,AR 441,,
1,prerequisite,,BSARCH Curriculum 2023,AR 495,Integration Course for Architecture 1,,,3,,,false,,AR 451,,
1,prerequisite,,BSARCH Curriculum 2023,AR 495,Integration Course for Architecture 1,,,3,,,false,,AR 421,,
1,prerequisite,,BSARCH Curriculum 2023,ARSC 443,Architectural Structures,,,3,,,false,,ARSC 433,,
1,prerequisite,,BSARCH Curriculum 2023,AR 501,Architectural Design 9,,,5,,,false,,AR 402,,
